key_algorithm_oid,type,test_result
2.16.840.1.114027.80.8.1.30,consistent,Y
2.16.840.1.114027.80.8.1.28,cert,N
2.16.840.1.114027.80.8.1.28,seed,N
2.16.840.1.114027.80.8.1.28,expandedkey,N
2.16.840.1.114027.80.8.1.28,both,N
2.16.840.1.114027.80.8.1.28,consistent,Y
2.16.840.1.101.3.4.3.27,cert,Y
2.16.840.1.101.3.4.3.27,seed,Y
2.16.840.1.101.3.4.3.27,expandedkey,Y
2.16.840.1.101.3.4.3.27,both,Y
2.16.840.1.101.3.4.3.27,consistent,Y
2.16.840.1.101.3.4.3.31,cert,Y
2.16.840.1.101.3.4.3.31,seed,Y
2.16.840.1.101.3.4.3.31,expandedkey,Y
2.16.840.1.101.3.4.3.31,both,Y
2.16.840.1.101.3.4.3.31,consistent,Y
2.16.840.1.114027.80.8.1.45,cert,N
2.16.840.1.114027.80.8.1.45,seed,N
2.16.840.1.114027.80.8.1.45,expandedkey,N
2.16.840.1.114027.80.8.1.45,both,N
2.16.840.1.114027.80.8.1.45,consistent,Y
2.16.840.1.101.3.4.4.3,cert,N
2.16.840.1.101.3.4.4.3,priv,Y
2.16.840.1.101.3.4.4.3,consistent,Y
2.16.840.1.114027.80.8.1.50,cert,N
2.16.840.1.114027.80.8.1.50,seed,N
2.16.840.1.114027.80.8.1.50,expandedkey,N
2.16.840.1.114027.80.8.1.50,both,N
2.16.840.1.114027.80.8.1.50,consistent,Y
2.16.840.1.101.3.4.3.44,cert,N
2.16.840.1.101.3.4.3.44,seed,N
2.16.840.1.101.3.4.3.44,expandedkey,N
2.16.840.1.101.3.4.3.44,both,N
2.16.840.1.101.3.4.3.44,consistent,Y
2.16.840.1.114027.80.8.1.29,cert,N
2.16.840.1.114027.80.8.1.29,seed,N
2.16.840.1.114027.80.8.1.29,expandedkey,N
2.16.840.1.114027.80.8.1.29,both,N
2.16.840.1.114027.80.8.1.29,consistent,Y
2.16.840.1.114027.80.8.1.24,cert,N
2.16.840.1.114027.80.8.1.24,seed,N
2.16.840.1.114027.80.8.1.24,expandedkey,N
2.16.840.1.114027.80.8.1.24,both,N
2.16.840.1.114027.80.8.1.24,consistent,Y
2.16.840.1.101.3.4.4.1,cert,N
2.16.840.1.101.3.4.4.1,priv,Y
2.16.840.1.101.3.4.4.1,consistent,Y
2.16.840.1.114027.80.8.1.23,cert,N
2.16.840.1.114027.80.8.1.23,seed,N
2.16.840.1.114027.80.8.1.23,expandedkey,N
2.16.840.1.114027.80.8.1.23,both,N
2.16.840.1.114027.80.8.1.23,consistent,Y
